언론사,기자,제목,기사본문,기사링크
MBN,이기종 기자 mbnlkj@gmail.com,한일중 공동선언 '정례화 합의'…비핵화 문제 시각 차,"【 앵커멘트 】한일중 정상회의가 이틀간의 일정을 마무리했습니다.오전 회담 후 공동선언을 발표했는데요.대통령실 취재기자 연결해 정리해 보겠습니다.이기종 기자, 공동선언문에 북한 핵 문제를 두고 어떤 문구가 들어갈지 관심이었잖아요.그런데 세 나라가 강조하는 부분이 달랐어요?【 기자 】네, 한일중 세 정상은 오늘 오전 청와대 영빈관에서 회담을 마치고 공동 기자회견을 열었습니다.회견이란 명칭을 쓰긴 했지만, 질의응답 없이 3국 정상이 차례로 발언했는데요.윤석열 대통령은 안보리 결의를 이행하면서 북한의 비핵화를 위해 노력하는 게 중요하다고 말했고요.기시다 일본 총리는 북한의 비핵화와 한반도의 안정이 공동의 이익임을 확인했다고 했고, 일본인 납북자 문제를 거론했습니다.리창 중국 총리는 한반도 문제의 정치적 해결을 추진하고 있다며 관련 측은 사태가 더 복잡하지 않도록 자제를 유지해야 한다고 말했습니다.북한뿐 아니라, 한국과 일본의 자제도 필요하다는 의미로 풀이되죠.【 질문2 】이런 발언들이 결국 공동선언문에도 그대로 반영된 거죠? 비핵화가 목표라는 문구도 담기지 않았어요?【 기자 】네, 기자회견 후 공개된 공동선언문을 보면요.동북아와 한반도 평화·안정이 공동의 이익이자 책임이라는 걸 확인했다고 했는데요.그러면서, 역내 평화와 안정, 한반도 비핵화, 납치자 문제에 대한 입장을 각각 재강조했다고 적었습니다.중국과 한국, 일본 순으로 각각 최우선 현안을 강조한 건데요.나머지 두 나라는 이를 이해한다는 의미인 것으로 전해졌습니다.앞서 7차와 8차 공동선언문에는 우리는 한반도의 비핵화를 약속한다, 우리는 한반도의 완전한 비핵화를 위해 노력한다고 했던 것과는 다릅니다.【 질문3 】3국 협력이 복원됐다는 건 성과로 볼 수 있겠죠? 정상회의 일정은 모두 마무리된 거죠?【 기자 】네, 3국은 이번에 4년 5개월 만에 정상회의를 재개했고, 정례화하기로 하면서 3국 협력체계를 복원하는 첫발을 뗐습니다.3국 정상은 대한상의에서 열린 비즈니스 서밋에 참석하는 것으로 공식일정을 마무리했습니다.앞서, 어제(26일) 저녁에는 공식 환영 만찬이 열렸습니다.국립현대미술관 서울관에서 진행됐는데요.교류와 화합을 주제로, 3국 어린이 합창단이 일본과 중국의 대표 민요를 불렀고요.세 나라 도예가들이 재료와 기법을 서로 나눈 작품도 전시됐습니다.윤 대통령은 3국이 힘을 합쳐 멸종위기를 극복한 따오기의 사례를 언급하며 협력의 필요성을 강조하기도 했습니다.지금까지 대통령실에서 m뉴스 이기종입니다.영상취재: 전범수 기자영상편집: 김경준",https://n.news.naver.com/mnews/article/057/0001820154?sid=100
MBC,이준희(letswin@mbc.co.kr),대통령 격노' 자체가 문제?‥이종섭 통화 공개 초읽기,"[뉴스데스크]◀ 앵커 공수처 수사로 'vip 격노설'을 뒷받침하는 진술과 물증이 속속 드러나고 있는 가운데, 여권 일부에서는 대통령이 격노했다고 무슨 그게 수사 대상이냐, 대통령이 문제가 있다고 격노하면 안 되냐 같은 말들이 나오고 있습니다.이게 법적으로는 어떤 쟁점이 있는지 법조팀의 이준희 기자와 한번 짚어보겠습니다.이 기자, 여권에서도 대통령의 격노 자체는 일부 인정하는 분위기도 있는 것 같은데, 사실 그게 핵심은 아니잖아요?◀ 기자 'vip 격노설'이라는 말이 나오면서 '격노'에 초점이 맞춰지고 있지만, 핵심은 '격노'했느냐 안 했느냐가 아니라 '외압'이 있었느냐, 아니냐입니다.어떤 말투로 외압을 행사했는지는 중요한 게 아니라는 거죠.한 검사장 출신 변호사는 대통령이 화를 낸 것이 중요한 게 아니라 화를 내면서 한 말, 결국 지시사항이 중요하다고 했습니다.고검장 출신 한 변호사는 혐의자를 빼라든지, 기록을 회수하라든지 이런 구체적인 지시가 있었는지가 직권 남용 성립 여부를 판가름할 것이라고 했습니다.◀ 앵커 그렇죠, 핵심은 외압 여부다.이종섭 당시 국방부 장관이 열쇠를 쥐고 있는 것 같은데 지난해 7월 31일에 예정되어 있던 언론 브리핑, 수사 결과 언론 브리핑이죠.이걸 갑자기 취소하라고 지시한 장본인이잖아요.◀ 기자 이 전 장관은 최근 공수처에 대통령의 격노를 접한 적 없다, 대통령은 물론 그 누구도 사단장 빼라고 한 적 없다는 의견서를 제출했습니다.지난해 국회에 나와서는, 7월 31일, 이 건과 관련해 대통령과 통화한 적 없다고도 했는데요.그런데 브리핑 취소 지시 직전, 대통령실의 유선전화 한 통을 받은 것으로 공수처 수사에서 확인됐습니다.누구와 어떤 내용의 통화를 했는지, 앞으로 수사가 밝혀내야 할 부분입니다.◀ 앵커 그러면 결국은 수사가 대통령실을 향할 것 같은데, 곧 이종섭 전 장관 통화 기록이 공개될 것 같다고요?◀ 기자 박정훈 전 해병대 수사단장 측은 윗선 개입 의혹을 규명하기 위해 관련 인사들의 통신 기록 조회를 요청했는데, 군사법원이 일부 수용했습니다.군사법원이 작년 7월 28일부터 8월 9일 사이 이종섭 전 장관과 박진희 전 국방부 군사보좌관의 전화통화와 문자메시지 기록 조회를 각 통신사에 요청했는데요.kt 자료는 이미 법원에 도착했고요.나머지 통신사 자료도 곧 도착할 것으로 보입니다.kt 통신 기록에는 유선전화 통화 내역도 포함되는 만큼, 이 전 장관이 통화한 '가입자명 대통령실' 전화의 실체가 드러날지도 관심이 쏠립니다.◀ 앵커 이종섭 전 장관의 통화 내역이라, 통화 기록의 윗선 개입 의혹에 추가 정황이 있을 수 있겠군요.법조팀 이준희 기자 잘 들었습니다.m 뉴스는 24시간 여러분의 제보를 기다립니다. 전화 02-784-4000 이메일  카카오톡 @m제보",https://n.news.naver.com/mnews/article/214/0001351171?sid=100
YTN,권남기(kwonnk09@ytn.co.kr),"한일중 ""한반도 평화""...'비핵화 공통 목표'는 빠져","3국 정상, 한일중 정상회의 뒤 공동 기자회견 열어한반도 평화·안정 공동 이익…北 관련은 온도 차尹 대통령·기시다 日 총리, '북한 비핵화' 언급[앵커]한일중은 한반도의 평화가 3국 공동의 이익이라는 데는 의견 일치를 봤습니다.하지만 북한 문제를 둘러싸고 온도 차를 보였는데, 결국 공동선언엔 '한반도 비핵화가 공통 목표'란 내용이 빠졌습니다.권남기 기자입니다.[기자]1시간 반에 걸친 한일중 정상회의 뒤 3국 정상은 기자들 앞에서 나름의 성과와 의미를 밝혔습니다.3국 모두 한반도의 평화와 안정을 추진하고 정치적 해결을 해야 한다는 데는 이견이 없었지만, 북한 관련 문제엔 온도 차가 확연했습니다.윤석열 대통령과 기시다 일본 총리는 한목소리로 '북한의 비핵화'를 언급하며 군사정찰위성 발사 예고를 규탄했습니다.[윤석열  대통령 : 북한의 비핵화를 위해 노력하는 것이 중요합니다. 소위 위성 발사는 명백한 안보리 결의 위반이며….][기시다 후미오  일본 총리 : 북한의 비핵화와 한반도의 안정이 한일중 우리 3국에 공동의 이익임을 다시 한 번 확인했습니다.]반면 리창 중국 총리는 위성 발사 관련 언급을 하지 않고 '관련 측'이란 표현을 내놨습니다.[리창  중국 국무원 총리 : 관련 측은 자제를 유지하고, 사태가 더 악화하고 복잡해지는 것을 예방해야 한다고 생각합니다.]북한과 관련한 한미일도 한반도 정세 안정을 위해 노력할 책임이 있다는 걸 강조한 거란 해석이 나왔는데, 이런 입장 차는 한일중 3국 공동선언에 고스란히 드러났습니다.우리는 역내 평화와 안정, 한반도 비핵화, 납치자 문제에 대한 입장을 '각각 재강조'했다, 이를 두고 정부 고위당국자는 '역내 평화와 안정'은 중국, '한반도 비핵화'는 한국, '납치자 문제'는 일본이 강조한 부분이라고 설명했습니다.'한반도 비핵화'가 공통 목표라는 문구 대신 3국의 이해 아래 제각각 강조하고 싶은 내용을 공동선언에 넣은 거로 보입니다.윤 대통령은 탈북민 문제 관련 협조도 요청했는데, 리창 총리는 정세 안정도 중요하다, 우려를 잘 알고 있으니 계속 소통하자고 답했습니다.앞선 8차례 정상회의 땐 대부분 핵무기 개발에 확고히 반대한다는 등의 '비핵화' 관련 표현을 협의했습니다.다만 '2+2 외교·안보 대화' 신설 등 한중이 '전략적 소통' 강화를 위한 계기를 만들었단 점은 적잖은 성과로 꼽힙니다.ytn 권남기입니다.촬영기자;최영욱 김종완영상편집;서영미디자인;박유동※ '당신의 제보가 뉴스가 됩니다'[카카오톡] ytn 검색해 채널 추가[전화] 02-398-8585[메일]",https://n.news.naver.com/mnews/article/052/0002040905?sid=100
MBC,정상빈(jsb@mbc.co.kr) 영상취재 : 서현권 / 영상편집 : 장예은,"재표결 D-1 압박 총력전‥""부결은 탄핵 열차 출발 단추""","[뉴스데스크]◀ 앵커 내일 재표결을 앞두고 더불어민주당을 비롯한 야당은 특검법 의결에 한목소리를 냈습니다.야당은 대통령 탄핵까지 거론하며 국민의힘을 거세게 압박했습니다.정상빈 기자입니다.◀ 리포트 더불어민주당과 개혁신당, 조국혁신당까지 각 정당 공식 회의에서도, 방송 출연은 물론, 국회 기자회견장, 본청 앞에서까지.21대 결자해지! 해병대원 특검의결!'채상병 특검법' 재표결을 하루 앞두고, 야권은 압박 수위를 최고조로 끌어올렸습니다.국민의힘을 향해 주권자인 국민을 생각하라고 호소했습니다.[이재명더불어민주당 대표]용산이 아니라 국민을 두려워해야 합니다. 헌법과 양심에 따른 결단을 호소드립니다.'대통령 격노설'을 옹호하는 여당 내 발언에 대해서는 법 체계를 무너뜨리는 것이라고 날을 세웠습니다.[박찬대더불어민주당 원내대표]대통령의 격노 때문에 이 모든 문제가 불거진 것 아닙니까? 그런데도 아무 문제가 없다는 식으로 덮어보려는 태도는 국민을 무시하는 처사입니다.앞서 국민의힘 성일종 사무총장이 대통령이 노할 수도 있다. 격노한 게 죄가 되느냐며 윤석열 대통령을 엄호한 걸 직격한 겁니다.어김없이 대통령 탄핵을 거론하며 야권의 공세 수위는 최고조에 달했습니다.자신이 수사 대상이 될 특검법을 거부함으로써 윤 대통령이 이미 결정적인 탄핵사유를 만들었다고 강조했습니다.[황운하조국혁신당 원내대표]윤 대통령은 탄핵 열차의 연료를 채웠습니다. 여당 의원들의 재의결 부결표는 열차의 출발 단추를 누르는 일이 될 것입니다.채상병 특검법을 재의결하는 국회 본회의는 내일 오후 2시에 열립니다.국민의힘에서 무더기 이탈표가 나올 가능성은 높지 않지만, 야권은 이번에 부결돼도 22대 국회에서 특검법을 반드시 재추진한다는 방침입니다.m뉴스 정상빈입니다.영상취재 : 서현권  영상편집 : 장예은m 뉴스는 24시간 여러분의 제보를 기다립니다. 전화 02-784-4000 이메일  카카오톡 @m제보",https://n.news.naver.com/mnews/article/214/0001351170?sid=100
JTBC,이성대 기자 (sdj12@jtbc.co.kr),"[돌비뉴스] 나경원 ""내가 한동훈이라면 출마 안 해""…은근한 견제?","가 한동훈이라면…기자]지금 여당, 여권 내 최대 관심사는 바로 이 말줄임표에 내용이 무엇이냐라는 거죠.내가 한동훈이라면 셀카를 안 찍었을 것이다, 내가 한동훈이라면 도서관에 안 갔을 것이다 이런 이야기는 이미 나왔습니다.그런데 이제 이번에 나온 내용이 뭐냐하면 나경원 당선인입니다.내가 한동훈이라면 전대에 출마하지 않겠다, 당대표 출마 안 하겠다, 얻을 게 없다고 얘기를 했는데 사실상한동훈 전 비대위원장을 견제한 게 아니냐 이런 분석이 나오고 있습니다.[앵커]요즘 이렇게 소셜미디어 글 정도 쓰고 있고 알려지지 않은 비공식 행보 정도를 하고 있는데 연일 이슈가 되고 있습니다. 전대 출마 여부가.[기자]그렇습니다. 지금 나경원 당선자 말에 따르면 당대표라고 하면 여당 대표라면 당정 관계를 조율해야 되는 사람인데 용산과 밥 한 번 먹지도 않은 사람이 어떻게 여당 대표를 할 수 있느냐 이렇게 비판을 하고 있는 건데요.말씀하신 것처럼 한동훈 전 비대위원장 출마해야 된다라는 옹호론도 많이 나오고 있습니다.오늘(27일)이었습니다.이른바 친한계로 알려져 있는 장동혁 전 사무총장이 지금 백서tf가 한동훈 전 비대위원장을 면담하겠다고 하는데 백서팀이 무슨 특검이냐, 이렇게 상당히 강하게 비판을 했습니다.만약에 조사할 게 있다면 한 전 비대위원장이 아니라 당시 사무총장이었던 자신한테 와서 물어봐라 이렇게 얘기를 하고 있는데요.결국, 이 문제가 계속되고 있지 않습니까?그러다 보니까 한 전 비대위원장이 직접 나서서 출마 여부, 가부에 대해서 먼저 이야기하는 게 필요하지 않느냐 이런 목소리도 커지고 있습니다.",https://n.news.naver.com/mnews/article/437/0000394526?sid=100
연합뉴스TV,지성림(yoonik@yna.co.kr),"한·일 ""북한 비핵화"" 한목소리…중국은 '물타기'","[앵커]한일중 정상회의에서 북한 문제에 대한 한·일과 중국의 분명한 입장 차이가 확인됐습니다.한·일 정상은 북한 비핵화를 강조하고 정찰위성 발사 시도를 한목소리로 비판했지만, 중국은 관련국 모두에 책임이 있다는 식으로 '물타기'를 한 겁니다.지성림 기자입니다.[기자]세 나라는 공동선언문에서 한반도와 동북아의 평화·안정·번영이 3국의 공동 이익이자 공동 책임임을 재확인했다고 밝혔습니다.하지만 역내 평화와 안정, 한반도 비핵화, 납치자 문제에 대한 입장을 각각 재강조했다며 입장 차이가 있었음을 명시했습니다.실제로, 한일중 정상의 공동기자회견에서는 북한 문제를 둘러싼 한국·일본과 중국 사이의 간극이 분명히 드러났습니다.우선, 한국과 일본 정상은 북한이 예고한 정찰위성 발사를 한목소리로 비판했습니다.석열  대통령북한이 오늘 예고한 소위 '위성 발사'는 명백한 안보리 결의 위반이며, 국제사회가 단호하게 대응해 나가야 할 것입니다.윤석열 대통령의 '북한 비핵화' 강조에 기시다 후미오 일본 총리도 호응했습니다.시다 후미오  일본 총리북한의 비핵화와 한반도의 안정이 일·중·한 3국의 공동의 이익임을 다시 한번 확인했습니다.하지만, 리창 중국 총리는 북한 핵 문제와 정찰위성에 대해서는 전혀 언급하지 않고, '한반도 문제의 정치적 해결' 원칙만 재확인했습니다.더 나아가 한반도 정세 긴장의 책임이 북한뿐 아니라 한국이나 미국 등 '관련국'에도 있다는 식으로 '물타기'를 시도했습니다.창  중국 국무원 총리우리는 관련국들이 자제를 유지하고, 사태가 더 악화하고 복잡해지는 것을 예방하기를 원합니다.이처럼 북한을 압박하는 한·일과 북한을 감싸는 중국 간 입장차가 다시 부각됐지만, 3국 정상의 정례적 만남은 북한이 무모한 도발을 자제하도록 하는데 긍정적 영향을 미칠 거란 전망도 나옵니다.연합뉴스tv 지성림입니다. ( )[영상취재기자 이일환·윤제환·정창훈]#한일중정상회의 #윤석열 #기시다 #리창 #북한비핵화 #정찰위성연합뉴스tv 기사문의 및 제보 : 카톡라인 je23",https://n.news.naver.com/mnews/article/422/0000661933?sid=100
JTBC,이성대 기자 (sdj12@jtbc.co.kr),[돌비뉴스] '직접 수사해보니 좋은 사람?' 정호성 임명 미스터리,"사해 보니 좋은 사람?기자]박근혜 전 대통령의 이른바 '문고리 3인방'으로 유명한 정호성 전 비서관이 이번에 대통령실 비서관으로 발탁이 되면서 논란이 이어지고 있습니다.대통령 본인이 직접 수사했던 사람을 발탁했기 때문에 그 배경에 관심이 쏠리고 있는데 그럼 박근혜 전 대통령이 추천한 게 아니냐? 이런 이야기들이 많이 나왔거든요.그런데 이제 보수 패널로 유명한 서정욱 변호사가 박 전 대통령의 최측근인 유영하 당선인과 통화를 해봤는데 가는 걸 몰랐다고 언론 인터뷰를 했습니다.저희가 이 서씨랑도 통화를 여러 번 해 봤더니 실제로 여러 관계자들을 확인해 보니 몰랐다는 게 맞다라고 확인을 해 줬습니다.[앵커]그럼 박근혜 전 대통령이 아니라면 제목대로 직접 수사해 봤던 윤석열 대통령이 잘 봤다 이런 얘기인 겁니까?[기자]그렇게 지금 얘기가 많이 나오고 있는 겁니다.직접 본인이 수사를 해 봤더니 정호성 전 비서관이 사람이 괜찮다, 이런 판단을 한 게 아니냐 이런 분석이 나오는 거거든요.계속 들어보겠습니다.[서정욱변호사(s 라디오 '김태현의 정치쇼') : 후배 중에 검사인데 수사하다가 피의자 여자하고 결혼한 사람이 있습니다. 제 말은 수사하다 보면 피의자가 이게 범죄도 큰 게 아니고 믿음, 사랑이 싹틀 수도 있잖아요. 저는 대통령이 수사하다가도 이 사람의 능력에 반해서 임명했다…][기자]참고로 여당에서는 대통령실에서 근무하고 싶어 하는 보좌진들이 많이 있거든요.그동안은 검찰이나 경찰 출신의 수사관들이 먼저 갔을 때는 그런가 보다 했는데 이제는 범죄자 출신한테도 밀리냐, 이런 자조, 허탈감들이 나오고 있다고 합니다.[앵커]그런 반응이 나올 법한 게 국정농단 때 유죄 판결을 받았고 특히나 최순실 씨 지금은 최서원 씨.대통령의 연설문 같은 걸 직접 건네준 사람이잖아요.[기자]그렇습니다.말씀하신 것처럼 아무 직책이 없었던 비선이었죠, 최서원 씨.구 최순실 씨한테 연설문 등 어떤 여러 문건들을 넘겨준 것에서 멈추지 않고 아예 취임사 뼈대를 잡는 회의까지 했습니다.이 자리에서 직접 지시를 받고 또 그걸 이행하는 이런 정황들이 담긴 녹취록이 공개가 된 적이 있었죠.한번 들어보겠습니다.[최서원(최순실)(2013년 2월) : 쓰세요. 받아 적으세요. 첫 번째 경제 부흥, 두 번째 국민 행복, 세 번째 대한민국의 자긍심…][정호성전 비서관 : 네, 그렇게 하겠습니다.][최서원(최순실) : 문화만 할 수 있는 가치는 …빨리 써요, 정 과장님! 내가 왜 문화 형성을 노력할 건지. 저, 안 쓰고 있잖아.][앵커]대통령 비서관인데 누구의 지시를 받느냐, 이런 논란이 일었던 대화죠.이게 수사에도 활용이 되고 재판에도 활용이 됐었죠.[기자]그렇습니다.그 수사를 했던 게 바로 윤석열 당시 수사특검, 수사단장이었다는 얘기고요.어쨌든 간에 개인이 깨끗할 수 있다는 평가는 있지만 이게 지금 공직자 윤리의 문제이기 때문에 너무 그 부분을 간과한 게 아니냐는 지적이 나오고 있고요.당장 언론에서도 많이 갸우뚱하는 얘기가 나옵니다.한 칼럼을 가져왔는데요.이해하기에는 너무 먼 대통령의 생각이다라는 칼럼입니다.여기서 뭐라고 얘기를 했느냐.이번에 대통령의 어떤 인사는 정호성 씨를 등용한다는 소식에 안드로메다가 퍼뜩 떠올랐다.윤 대통령의 말과 행동은 매일 언론에 나와 가까운데 그 의도를 이해하기에는 국민의 감수성에서 무던히도 너무 멀다라는 얘기를 했고요.야당에서는 이게 혹시 탄핵을 대비한 게 아니냐, 이런 주장들, 음모론도 나오고 있습니다.조국혁신당의 정춘생 수석대표는 윤 대통령 본인이 구속시킨 범죄자를 이렇게 발탁한 것은 탄핵 유경험자의 오답노트로 앞으로의 탄핵을 대비한 게 아니냐 이런 분석이 나왔습니다.",https://n.news.naver.com/mnews/article/437/0000394525?sid=100
서울경제,박윤선 기자(sepys@sedaily.com),"이해찬, 초선 당선인들에 ""尹정부 빨리 끌어내리란 요구 많아""","더불어민주당 이해찬 상임고문이 27일 여의도 민주연구원에서 열린 '제22대 국회 초선의원 혁신강좌'에서 강의하고 있다. 연합뉴스[서울경제]더불어민주당 이해찬 상임고문은 27일 초선 당선인들에게 22대 국회 임기 초반 강력한 대여(對與) 투쟁을 주문했다.이 상임고문은 이날 서울 영등포구 민주연구원에서 열린 '제22대 국회 초선의원 혁신강좌'에서 윤석열 정부가 하도 무도한 2년을 했기 때문에 '빨리 끌어내려야 한다', '3년이 길다'고 할 정도로 국민 요구가 많다며 이같이 말했다.4년 전 총선에서 민주당 승리를 이끌었던 이 상임고문은 당시 민주당이 여당이어서 처음부터 싸운다, 투쟁해야 한다는 것이 없었다며 나머지 2년은 야당이 됐는데, 진짜 싸울 줄 몰랐다. 4년이 이렇게 지나가다 보니까 국민들이 실망했다고 진단했다.이어 이재명 대표의 대선 경선 때 앞장섰지만, 윤석열 정권에 대한 투쟁에 소극적이다 보니 이번 총선 경선에서 탈락한 모 의원의 사례를 들어 그만큼 유권자들, 권리당원들이 민감하다. 초반 2년은 중앙당 대여(對與) 투쟁에 비중을 많이 둬야 할 것이라고 강조했다.",https://n.news.naver.com/mnews/article/011/0004345791?sid=100
중앙일보,최서인 기자 choi.seoin@joongang.co.kr,"北, 한일중 선언문 내 '비핵화' 언급에 ""국제사회에 대한 기만""","윤석열 대통령, 기시다 후미오 일본 총리, 리창 중국 국무원 총리가 27일 청와대 영빈관에서 열린 제9차 한일중 정상회의에 앞서 기념 촬영을 하고 있다. 사진 대통령실북한이 27일 한·일·중 정상회의 공동선언문에 비핵화 문제가 거론된 데 대해 “한국이 ‘비핵화’와 ‘평화의 안정’에 대해 운운하는 것 자체가 지역 나라와 국제 사회에 대한 우롱이며 기만”이라고 비판했다.북한 외무성 대변인은 이날 조선중앙통신을 통해 배포한 담화에서 “27일 대한민국이 주최한 한일중 3자 수뇌회담에서는 이른바 조선반도와 지역의 평화와 안정 유지, 조선반도의 비핵화를 운운하는 ‘공동선언’이 발표됐다”며 이같이 밝혔다.앞서 이날 발표된 한일중 정상회의 공동선언문에는 ‘한반도와 동북아의 평화·안정·번영이 우리의 공동이익이자 공동 책임이라는 것을 재확인했다’는 내용이 담겼다. 또 “우리는 역내 평화와 안정, 한반도 비핵화, 납치자 문제에 대한 입장을 각각 재강조하였다”는 내용도 포함됐다.북한의 이날 담화는 한일중 정상회의 공동선언문이 발표된 지 두 시간여가 지난 뒤 나왔다. 북한은 한국에 대해 “지역외 패권세력과의 침략적인 군사동맹강화에 기승을 부리며 조선반도와 동북아시아 지역에 엄중한 안보위기를 시시각각으로 몰아오고 있다”고 주장했다.이어 “한국이 주도하는 국제회의 마당에서 조선민주주의인민공화국(북한)의 헌법적 지위를 부정하는 엄중한 정치적 도발이 감행된 것과 관련해 이를 우리 국가의 자주권에 대한 정면 도전으로, 난폭한 내정간섭으로 낙인하며 강력히 규탄 배격한다”고 썼다.북한은 담화에서 또 “지역의 평화와 안정을 위협하는 미국과 그 추종 국가들의 침략전쟁 연습들이 끊임없이 감행되고 있는 엄중한 안보 환경 속에서 비핵화라는 말은 평화와 안정이 아니라 핵 위기를 불러오게 될 뿐”이라며 “조선반도의 ‘완전한 비핵화’라는 것은 이론적으로나 실천적으로, 물리적으로 이미 사멸됐다”는 억지 주장을 반복했다.아울러 “우리의 절대적인 주권적 권리를 부정하려 드는 적대 세력들의 온갖 기도로부터 국가와 인민의 존엄과 주권, 자기의 헌법을 철저히 수호해나갈 것”이라며 “정의와 공평에 기초한 지역의 새로운 역학 구도를 구축해 나가기 위한 중대한 노력을 기울여나갈 것”이라고 부연했다.",https://n.news.naver.com/mnews/article/025/0003362950?sid=100
디지털타임스,한기호 기자(hkh89@dt.co.kr),"방심위, 김정은 찬양 영상 33건 접속차단","방송통신심의위원회가 27일 통신심의소위원회를 열고 김정은 북한 노동당위원장 찬양 가요 '친근한 어버이' 영상 33건(유튜브 14건 포함)을 심의해 시정요구(접속차단)를 의결했다.방심위는 지난 20일에도 관련 영상 29건에 대해 접속차단을 의결한 바 있다. 북한이 지난달 17일 공개한 해당 영상은 국가보안법을 위반해 김정은을 '친근한 어버이'라 칭하며 찬양·미화하는 내용으로 확인됐다.방심위의 이번 결정은 국가정보원의 요청에 따른 것이다. 방심위는 주요 내용이 김정은을 일방적으로 우상화하고 미화·찬양하는 점, 북한 내부가 아닌 외부와의 연결을 위해 운영하는 채널에서 게시된 점 등 대남 심리전과 연관된 전형적인 국가보안법 위반 정보에 해당한다는 의견을 반영한 것이라고 밝혔다.방심위가 접속 차단을 의결함에 따라 국내에서 해당 영상은 차단돼 볼 수 없다.",https://n.news.naver.com/mnews/article/029/0002876318?sid=100
뉴스1,한병찬 기자 (bchan@news1.kr),"우원식, ""민주유공자법 꼭 통과되길…尹 거부권 행사하지 말아야""","80 넘으신 부모님들 오체투지 들어가…정말 가슴 찢어진다우원식 더불어민주당 의원이 27일 오전 서울 영등포구 여의도 국회 앞에서 전국민족민주유가족협외희(유가협)과 민주유공자법제정추진단 주최로 열린 민주유공자법 국회 본회의 통과와 대통령 거부권 반대 촉구 기자회견에서 발언하고 있다. 2024.5.27뉴스1 ⓒ news1 김진환 기자(서울뉴스1) 한병찬 기자  더불어민주당 국회의장 경선에서 후보로 선출된 우원식 의원은 21대 국회 마지막 본회의를 하루 앞둔 27일 '민주유공자법' 통과를 촉구하며 대통령께서 거부권을 행사하지 말기를 기원한다고 밝혔다.우 의원은 이날 자신의 페이스북에 민주유공자법이 아직 통과되지 못해 80이 넘으신 부모님들이 오체투지에 들어갔다며 정말 가슴이 찢어진다고 적었다.그는 민주유공자법은 우리나라의 민주화 과정에 목숨을 잃고, 실종되고 다친 사람들에 한에서 유공자로 하자는 법이라며 이한열, 박종철, 전태일 열사와 같은 분들 말이다고 덧붙였다.이어 제가 대표발의한 법인데 다른 유공자법에도 사회적 보상으로 주어진 몇 가지 혜택도 다 내려놓은 명예 회복만을 위한 법이다며 국가보안법 등 우리 사회가 아직 받아들일 수 없는 죄목이 있는 분들은 제외토록 했고 더 나아가 최종적으로는 국가보훈부에서 심사를 더 할 수 있도록 했다고 강조했다.우 의원은 오는 28일 본회의에서 꼭 통과됐으면 좋겠다. 연로하신 부모님들의 소원을 우리 사회가 수용할 만큼 우리사회가 성숙해 있다며 통과되더라도 대통령께서 거부권을 행사하지 말기를 기원한다고 강조했다.앞서 전국민주유가족협의회와 민주유공자법제정추진단 등은 민주유공자 유족과 함께 이날 오전부터 민주유공자법의 통과와 거부권 행사 반대를 촉구하며 오체투지를 진행했다.민주유공자법은 4·19혁명, 5·18민주화운동을 제외한 민주화운동의 사망·부상자, 가족 또는 유족을 예우하는 내용을 골자로 한다. 또 민주화운동 관련 사망·행방불명·부상자와 그 가족이 국가보훈부에 유공자 등록 신청을 할 수 있고 보훈부는 심사위원회 등의 심의를 거쳐 등록 여부를 결정한다.",https://n.news.naver.com/mnews/article/421/0007564936?sid=100
